full_match,partial_match,total,date
12,0,12,2026-07-17
12,0,12,2026-07-18
12,0,12,2026-07-19
12,0,12,2026-07-20
12,0,12,2026-07-21
12,0,12,2026-07-22
12,0,12,2026-07-23
12,0,12,2026-07-24
12,0,12,2026-07-25
12,0,12,2026-07-26
12,0,12,2026-07-27
12,0,12,2026-07-28
12,0,12,2026-07-29
12,0,12,2026-07-30
12,0,12,2026-07-31
12,0,12,2026-08-01
12,0,12,2026-08-02
12,0,12,2026-08-03
12,0,12,2026-08-04
12,0,12,2026-08-05
12,0,12,2026-08-06
12,0,12,2026-08-07
12,0,12,2026-08-08
12,0,12,2026-08-09
12,0,12,2026-08-10
12,0,12,2026-08-11
12,0,12,2026-08-12
12,0,12,2026-08-13
12,0,12,2026-08-14
12,0,12,2026-08-15
12,0,12,2026-08-16
12,0,12,2026-08-17
12,0,12,2026-08-18
12,0,12,2026-08-19
12,0,12,2026-08-20
12,0,12,2026-08-21
12,0,12,2026-08-22
12,0,12,2026-08-23
12,0,12,2026-08-24
12,0,12,2026-08-25
12,0,12,2026-08-26
12,0,12,2026-08-27
12,0,12,2026-08-28
12,0,12,2026-08-29
12,0,12,2026-08-30
12,0,12,2026-08-31
